"Timestamp","How are you related to the I-CISK project?","Have you heard of or seen uncertainty information in climate forecasts before this survey?","How often do you use digital maps?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","Which map did you find the most intuitive to understand?","Which map did you like best?","Imagine you would decide which uncertainty maps are incorporated into a climate service application. Is there any combination of maps 1-4 that you would find helpful? If so, please tick the boxes of the maps that you would think would be helpful together. ","What additional information or features would you like to see in map uncertainty visualizations in relation to climate information to make them more helpful for your understanding?","Please share any additional comments you may have about the visualizations. Feel free to describe things you liked, did not like, or things you missed."
"2023/12/06 2:55:57 PM GMT+1","Not related, I am just interested in the survey","I have heard of uncertainty information, but not seen it in forecasts","Several times a month","21","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","21","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","24","It’s not possible to derive that from this map","It’s not possible to derive that from this map","Map 3","Map 1","Map 3 is the most useful but it misses information about the uncertainty between the extreme values. I believe map 2 tries to show that information but my brain does not intuitively understand the connection between the colors and the uncertainty without really focussing on it. For all maps, the colors were quite hard to distinguish for me (not colorblind). Maybe other colors, of maybe add the ability that when you click on the map it shows the value for that point on the map. Or use heat lines (like height lines on hiking maps). I also would prefer layers in the map instead of two maps side by side","- Add multiple layers instead of side by side view.
- Add the ability that when you click on the map it shows the value(s) for that point on the map.","Map 1 had the most complete information I felt but it was actually 6 maps and therefore quite a lot of work to discern that information. Map 3 is the most understandable but it misses information about the uncertainty between the extreme values. How likely is the lower and how likely is the upper bound of the prediction? What is the most likely mean value?

More general: The colors were quite hard to distinguish for me (not colorblind). Not sure how to solve this of course. It is quite a difficult problem. It could be usefule to use steps instead of a gradient? Or it might me helpfull to add heat lines (like height lines on hiking maps). I also would prefer layers in the map instead of two maps side by side."
"2023/12/06 3:09:04 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Once a month or less","22","28","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","25","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 3","Map 2;Map 3","","I missed some explanation on how accurate the projections usually are, even with the possible deviation, do the actual temperatures always fall within that frame? If so, I like a combination of maps 2 & 3. "
"2023/12/06 3:17:46 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Once a month or less","22","24","It’s not possible to derive that from this map","It’s not possible to derive that from this map.","22","24","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","26","It’s not possible to derive that from this map","It’s not possible to derive that from this map","23","24","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 1","Map 1;Map 3","Perhaps see the hypothetical change in temperature over multiple future years, so we see the urgency of the problem.","They are very pretty. I was a bit confused about the qustions about certainty. With a lot of them I had the idea that we couldn't know based on the maps."
"2023/12/06 4:16:39 PM GMT+1","I work on the project ","I am very familiar with uncertainty information in climate forecasts","Several times a week","20","25","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24.9","25.6","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24.9","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24.9","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 2","Map 2","Map 2;Map 3","I think the only feedback I have would be to add information on map 1, I was wondering if the outcomes represent different climate scenarios, or if it is representing a climate scenario and then the deviation. It was a bit more clear in map 2 for me, I thought the comparison side-by-side made the information easy to understand. ","Really great maps! Good work :) "
"2023/12/06 5:14:50 PM GMT+1","Not related, I am just interested in the survey","I am very familiar with uncertainty information in climate forecasts","Several times a week","21","27","Somewhat uncertain","The left and the right encircled area are equally likely to reach a temperature below 23  °C.","24.5","27.5","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","25","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 3","Map 2;Map 3","A written explanation about the things that should be pointed out.","The animation was hard to see because the overlay blanked out between each iteration. "
"2023/12/06 7:34:49 PM GMT+1","Not related, I am just interested in the survey","I am very familiar with uncertainty information in climate forecasts","Daily","23","26","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23.5","26.5","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","25","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","25","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 2","Map 2;Map 3","","Map 2b (deviation) could use more detailed color grading. Currently the whole map is ~2 colors, not using the full range of values. "
"2023/12/07 8:07:40 AM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Once a month or less","22","28","Very certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","30","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","18","30","Neither uncertain nor certain","I’m not sure","18","30","Somewhat certain","The left and the right encircled area are equally likely to reach a temperature below 23  °C.","Map 1","Map 1","I do not think multiple uncertainty maps would be useful","",""
"2023/12/07 10:27:19 AM GMT+1","I am a project partner","I am very familiar with uncertainty information in climate forecasts","Once a month or less","23","26","It’s not possible to derive that from this map","It’s not possible to derive that from this map.","24","26","It’s not possible to derive that from this map","It’s not possible to derive that from this map","22","26","It’s not possible to derive that from this map","It’s not possible to derive that from this map","23","23","It’s not possible to derive that from this map","It’s not possible to derive that from this map","Map 3","Map 3","i am unsure about the weighting of each scenario to be able to estimate uncertainty in estimates","",""
"2023/12/07 4:57:02 PM GMT+1","Not related, I am just interested in the survey","I have heard of uncertainty information, but not seen it in forecasts","Several times a month","23","26","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23.5","26.5","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 2","Map 1;Map 2","",""
"2023/12/07 7:03:36 PM GMT+1","Not related, I am just interested in the survey","I have heard of uncertainty information, but not seen it in forecasts","Several times a week","24","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","20","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","23.5","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 4","Map 4","Map 3;Map 4","the colours in the legenda deviate too much from the colours in the map, which makes it difficult to read them (except in map 4, that is why I prefer map 4)","This questionnaire is useful to obtain input from non-experts"
"2023/12/08 8:33:48 AM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Several times a week","23","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24.5","27.5","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","23","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 2","Map 2;Map 3","- A feature that allows you to click on certain locations on the map, like the left circle, to see what color matches what temperature. It can be difficult with gradient colors to estimate the right value based on sight. 

- Context to the projections. Why does map 1 show 6 different projections and what might influence outcomes? I know these were hypotheticals but knowing what factors influenced the outcome of the models might make me, and others, more aware of the impact certain factors have on climate projections. ",""
"2023/12/08 10:57:07 AM GMT+1","Not related, I am just interested in the survey","I have heard of it, but do not understand it","Daily","23","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23.5","26.5","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","20","26","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","21","24","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 2","I do not think multiple uncertainty maps would be useful","",""
"2023/12/08 11:04:13 AM GMT+1","I am a project partner","I am very familiar with uncertainty information in climate forecasts","Several times a month","24","27","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24.5","28","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","24.5","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 3","I do not think multiple uncertainty maps would be useful","This depends on the type of users. In my answers above, I assumed that the users are people without technical expertise. In this case, information should be as clear and simple as possible, and the user should not be requested to make mental calculations while visualising a map. I think Map3 fits best these purposes. I would make the color map discrete (instead of continuous), and add a simple explanation of what ""highest"" and ""lowest"" represent.",""
"2023/12/08 4:51:19 PM GMT+1","Not related, I am just interested in the survey","I have never heard of it","Several times a week","22","28","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","21","29","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","It’s not possible to derive that from this map","The left and the right encircled area are equally likely to reach a temperature below 23  °C.","Map 1","Map 1","I never make use of these kinds of maps. ","",""
"2023/12/11 1:17:57 PM GMT+1","I am a project partner","I have heard of it, but do not understand it","Daily","21","27","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","25","25","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","25","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","23","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 3","I found all the maps quite difficult to understand. ","It woul be useful to have the value of T displayed when moving with the mouse on the map as it is quite difficult to tell the exact temperature based on the different shades of color. ","I did not understand the explaination of Map 4: ""giving each dot a value based on how confident we are in our estimate or its frequency in that area."":"
"2023/12/12 1:26:05 PM GMT+1","I am a project partner","I understand it to some extent","Daily","22","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Somewhat certain","The left and the right encircled area are equally likely to reach a temperature below 23  °C.","22","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","25","Very certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 4","Map 4","Map 1;Map 2;Map 4","The time series of data used to make the projections (p.e.: 1990-2020, 1940-2005)","Although the first 3 maps are visually more attractive, it makes the differentiation between the colours a bit more confusing. Therefore, when making a comparison between two areas, it was much more intuitive with map 4, since the colours were much better differentiated.
On map 2, it was very gratifying to see the deviation. I wonder if, to make it more practical (I mean not having to look at two maps), could the deviation be included in the projection map in some way (e.g. by numbers on the pixels).
As for the survey, congratulations on making it so simple and intuitive to complete."
"2023/12/12 2:10:24 PM GMT+1","I am a project partner","I understand it to some extent","Several times a week","22","26","Somewhat uncertain","The left encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","24","25","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","25","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 1","Map 1","Map 1;Map 4","Automatic adjusting legend  scale to the max-min value  displayed when zooming , optionally ",""
"2023/12/12 2:43:10 PM GMT+1","I am a project partner","I understand it to some extent","Once a month or less","22","28","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","25","26","Very certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","24","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 2","Map 2","Map 2;Map 3","","I think I didn't understansd the pixeled ap and also have difficulties to identify the legend... like not sure if I got the correct reading. I don't think the maps are very intuitive for lay people.
Sure the map 1 with the option to select the differents models would make people think there is no certainty at all. I like more the idea to visualise the deviations."
"2023/12/12 4:39:24 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Several times a month","21","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","26","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","26","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 2","Map 2","Map 2;Map 4","Clearly readable temperature / color scales","I did not quite understand the last visualization. From reading the text first, i thought color would indicate the uncertainty percentages but the legend describes color as the absolute temperature in degrees, so i guess the second is true and the amount of uncertainty is represented by how many similar pixels are in close proximity? "
"2023/12/15 4:40:33 PM GMT+1","I am a project partner","I understand it to some extent","Several times a week","23","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","21","24","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 2","Map 2","Map 2;Map 3","",""
"2023/12/15 5:06:39 PM GMT+1","I am a project partner","I am very familiar with uncertainty information in climate forecasts","Several times a month","24","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","25","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","25","27","Very certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24.5","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 2","Map 2;Map 3","Addition of relevant boundary layers would be useful (e.g., catchment or admin boundaries)","The first map is not user friendly. Map 2 and 3 are good. Map4 is easy to understand but only give average value."
"2023/12/15 5:18:08 PM GMT+1","I am a project partner","I am very familiar with uncertainty information in climate forecasts","Several times a week","23","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","25","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","21","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","24","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 1","Map 3","the min max and average maps, together with the option to click on a pixel and get a pop-up with probability distribution of temp in that location or the individual climate model result traces that were used to extract the maps.","The text above the maps (and/or the caption/legend) has to be more concise. I thought it would probably represent mean June temp of the multiple climate correction, but that was only stated in map 3 I believe. The full information used to derive the map should be stated I think, or be able to link to, e.g. something like: The mean June 2030 temperature was derived by averaging the daily mean temperatures from 1-30 June of the years 2020-2040 simulation output from the 82 climate scenarios as reported in the 5th IPCC report.. As this information was not provided, in principle in my view for non of the maps the uncertainty could be assessed, but as I understand this exercise to focus on the visualisation and map options, I answered assuming I knew how the maps were derived.","I do not know how these example maps were derived, but perhaps just to be sure to share that climate models used to simulate the climate scenarios as far as I am aware come with the advice to not use a simulation result in a particular month and year as a prediction of what will happen in exactly that year. To get an idea of how the climate will look like around the year 2050 for example, we are advised to derive model-output statistics from multiple years around 2050, e.g. 2035-2065. Very nice examples of visualisation maps, and very useful exercise and research. Looking forward to see your analysis results."
"2023/12/15 9:37:42 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Several times a month","20","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","20","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","20","25","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","25","25","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 1","Map 1;Map 3","",""
